iter	Logloss
0	0.681775679
1	0.6736326273
2	0.6672183361
3	0.6432076426
4	0.6371597758
5	0.6282641021
6	0.6198927603
7	0.6095677075
8	0.6052657829
9	0.603714358
10	0.5967485393
11	0.5909329784
12	0.5901687173
13	0.5888127101
14	0.5852858695
15	0.5828672188
16	0.581435146
17	0.5799444962
18	0.5795145577
19	0.5786742207
20	0.5768671197
21	0.5764267714
22	0.5735710431
23	0.5727967926
24	0.5706674073
25	0.5694066265
26	0.5681236404
27	0.5668816536
28	0.565706686
29	0.5639497642
30	0.5631751147
31	0.5625725665
32	0.5621396886
33	0.5612478672
34	0.5599628441
35	0.5584274223
36	0.5575037507
37	0.5567030943
38	0.555422928
39	0.5546063906
40	0.554107551
41	0.5540058602
42	0.5525768274
43	0.5522184475
44	0.5506916049
45	0.5502883988
46	0.5497804918
47	0.5495238661
48	0.5493969515
49	0.5491189457
50	0.5488617166
51	0.5484504192
52	0.548324608
53	0.5478177578
54	0.5473383635
55	0.5465664391
56	0.5461072743
57	0.5458343976
58	0.545287718
59	0.5449590755
60	0.5440307764
61	0.543639518
62	0.5427534848
63	0.5422700773
64	0.5416326404
65	0.5410012291
66	0.5397601891
67	0.5394378797
68	0.53883142
69	0.5378820179
70	0.537242116
71	0.5369702161
72	0.5368056795
73	0.5367073585
74	0.5364600347
75	0.5357788768
76	0.5349478334
77	0.5342685925
78	0.5336447864
79	0.5330534997
80	0.532640969
81	0.531661503
82	0.5314925259
83	0.531254265
84	0.5311288969
85	0.5310101774
86	0.5302477587
87	0.5296564569
88	0.5292307012
89	0.5280233318
90	0.5276301904
91	0.5274645423
92	0.5266409255
93	0.5263124144
94	0.5257159531
95	0.5254874494
96	0.5253282783
97	0.5245830181
98	0.5236767357
99	0.5232152434
100	0.522959822
101	0.5227487788
102	0.522207953
103	0.5221618522
104	0.521575986
105	0.5215125889
106	0.5214738172
107	0.5214209676
108	0.5213771407
109	0.5211726722
110	0.521127692
111	0.5208509716
112	0.5204083566
113	0.5198685462
114	0.5196199471
115	0.5190843983
116	0.5186303022
117	0.518155464
118	0.51749582
119	0.5174424295
120	0.5174157669
121	0.5172796634
122	0.5170606885
123	0.5166434976
124	0.5162897059
125	0.515986198
126	0.5158097437
127	0.5157726048
128	0.5156277788
129	0.5151490713
130	0.5149251771
131	0.5146090461
132	0.5143055006
133	0.5138590032
134	0.5132611478
135	0.5129479579
136	0.5128051299
137	0.5125212098
138	0.5121690455
139	0.5121548989
140	0.5118518897
141	0.5118264848
142	0.5117333128
143	0.5113091046
144	0.5104946251
145	0.5104751053
146	0.5104531514
147	0.5103824934
148	0.5100545301
149	0.5099829433
150	0.5094361133
151	0.508608657
152	0.5085918256
153	0.5082366156
154	0.5076374426
155	0.5076197754
156	0.506988614
157	0.5069754388
158	0.5064779583
159	0.5064196488
160	0.5064107861
161	0.506400785
162	0.506212806
163	0.5055818395
164	0.5055711603
165	0.5055627125
166	0.5055574643
167	0.505499584
168	0.5049786693
169	0.5048548035
170	0.5044091848
171	0.5040710581
172	0.5039876366
173	0.5036192359
174	0.5035733937
175	0.5031063182
176	0.5030748691
177	0.5027555999
178	0.5025267786
179	0.5025137125
180	0.502500201
181	0.5024941159
182	0.5024856029
183	0.5017136214
184	0.5014298661
185	0.5010987772
186	0.5007219898
187	0.5005171108
188	0.5002477743
189	0.4999860987
190	0.4992360556
191	0.4987865834
192	0.498372311
193	0.4979081152
194	0.4976834113
195	0.497238813
196	0.4968211992
197	0.4967867499
198	0.4967787953
199	0.4967716785
